feature,coef,abs_coef
credit_type_EQUI,7.7823222136804855,7.7823222136804855
credit_type_EXP,-2.381090547562523,2.381090547562523
credit_type_CIB,-2.3498851619383396,2.3498851619383396
credit_type_CRIF,-2.314226554841411,2.314226554841411
lump_sum_payment_lpsm,1.6515369362073722,1.6515369362073722
Security_Type_Indriect,1.0263018481168318,1.0263018481168318
Secured_by_land,1.0263018481168318,1.0263018481168318
construction_type_mh,1.0263018481168318,1.0263018481168318
submission_of_application_to_inst,0.9796254835056538,0.9796254835056538
lump_sum_payment_not_lpsm,-0.9144169868678388,0.9144169868678388
Neg_ammortization_neg_amm,0.9049389978885991,0.9049389978885991
occupancy_type_ir,0.8764717401890985,0.8764717401890985
LTV,0.8758420906250576,0.8758420906250576
loan_purpose_p2,0.848538454455524,0.848538454455524
loan_limit_ncf,0.7442300909579527,0.7442300909579527
total_units_3U,0.6150430915484594,0.6150430915484594
loan_type_type2,0.5761515452798629,0.5761515452798629
business_or_commercial_b/c,0.5761515452798629,0.5761515452798629
loan_type_type1,0.5579664199780062,0.5579664199780062
Credit_Worthiness_l2,0.5507307734185818,0.5507307734185818
Upfront_charges,-0.548503506429017,0.548503506429017
interest_only_int_only,0.5281599186898351,0.5281599186898351
co-applicant_credit_type_CIB,0.4984695625733337,0.4984695625733337
total_units_1U,-0.48612707772059244,0.48612707772059244
approv_in_adv_nopre,0.4663997729375175,0.4663997729375175
Interest_rate_spread,-0.4425434611366581,0.4425434611366581
open_credit_nopc,0.4412816102839458,0.4412816102839458
total_units_2U,0.4275243228887983,0.4275243228887983
loan_type_type3,-0.39699801591818396,0.39699801591818396
occupancy_type_pr,-0.3363072040277551,0.3363072040277551
age_<25,0.31528464008794954,0.31528464008794954
Region_North-East,0.29675154063058706,0.29675154063058706
open_credit_opc,0.29583833905580964,0.29583833905580964
Region_central,0.2929667043166902,0.2929667043166902
Secured_by_home,-0.28918189877709916,0.28918189877709916
construction_type_sb,-0.28918189877709916,0.28918189877709916
Security_Type_direct,-0.2891818987770713,0.2891818987770713
age_>74,0.2792245813332443,0.2792245813332443
income,-0.2747684079768488,0.2747684079768488
Gender_Male,0.27191046283500836,0.27191046283500836
approv_in_adv_pre,0.2707201764022684,0.2707201764022684
submission_of_application_not_inst,-0.2425055341661302,0.2425055341661302
co-applicant_credit_type_EXP,0.23865038676611405,0.23865038676611405
loan_purpose_p3,0.2370388406692349,0.2370388406692349
interest_only_not_int,0.20896003064994034,0.20896003064994034
rate_of_interest,-0.19861278574195074,0.19861278574195074
occupancy_type_sr,0.19695541317810866,0.19695541317810866
loan_purpose_p1,-0.18640789994020224,0.18640789994020224
Credit_Worthiness_l1,0.18638917592114132,0.18638917592114132
total_units_4U,0.18067961262302298,0.18067961262302298
Gender_Sex Not Available,0.17889832770588646,0.17889832770588646
property_value,0.176181152628788,0.176181152628788
Neg_ammortization_not_neg,-0.16781904854890659,0.16781904854890659
Gender_Female,0.16221145479988575,0.16221145479988575
loan_purpose_p4,-0.16204944584490474,0.16204944584490474
business_or_commercial_nob/c,0.1609684040597689,0.1609684040597689
age_55-64,0.15887324048758017,0.15887324048758017
Region_south,0.14508654172571672,0.14508654172571672
age_65-74,0.14032151237814078,0.14032151237814078
age_25-34,-0.12830358077242285,0.12830358077242285
Gender_Joint,0.124099703999051,0.124099703999051
dtir1,0.10360161702483668,0.10360161702483668
age_35-44,-0.10183954853248103,0.10183954853248103
age_45-54,0.07355910435763688,0.07355910435763688
term,-0.03304204536107175,0.03304204536107175
Credit_Score,0.018434362191325493,0.018434362191325493
loan_amount,-0.015971064314714522,0.015971064314714522
loan_limit_cf,-0.007110141618125789,0.007110141618125789
Region_North,0.002315162667099845,0.002315162667099845
year,0.0,0.0
