threshold,tp,fp,fn,tn,recall_default,precision_default,false_positive_rate,defaults_caught_%
0.05,7323,21871,5,535,0.999,0.251,0.976,99.9
0.1,7223,20423,105,1983,0.986,0.261,0.911,98.6
0.15,7055,17991,273,4415,0.963,0.282,0.803,96.3
0.2,6856,14991,472,7415,0.936,0.314,0.669,93.6
0.25,6662,11879,666,10527,0.909,0.359,0.53,90.9
0.3,6449,9089,879,13317,0.88,0.415,0.406,88.0
0.35,6181,6776,1147,15630,0.843,0.477,0.302,84.3
0.4,5851,5021,1477,17385,0.798,0.538,0.224,79.8
0.45,5547,3685,1781,18721,0.757,0.601,0.164,75.7
0.5,5210,2674,2118,19732,0.711,0.661,0.119,71.1
0.55,4902,1890,2426,20516,0.669,0.722,0.084,66.9
0.6,4584,1306,2744,21100,0.626,0.778,0.058,62.6
0.65,4305,841,3023,21565,0.587,0.837,0.038,58.7
0.7,4067,495,3261,21911,0.555,0.891,0.022,55.5
0.75,3850,293,3478,22113,0.525,0.929,0.013,52.5
0.8,3656,157,3672,22249,0.499,0.959,0.007,49.9
0.85,3494,73,3834,22333,0.477,0.98,0.003,47.7
0.9,3351,25,3977,22381,0.457,0.993,0.001,45.7
0.95,3206,7,4122,22399,0.438,0.998,0.0,43.8
